nomeSistema,class,jdeodorant,decor,organic
checkstyle,com.puppycrawl.tools.checkstyle.ComplexityOverflow.provokeNpathIntegerOverflow,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.usage.transmogrify.Resolver.resolveExpression,0,1,1
corenlp,edu.stanford.nlp.classify.ColumnDataClassifier.makeDatum,0,1,1
corenlp,edu.stanford.nlp.classify.ColumnDataClassifier.setProperties,0,1,1
corenlp,edu.stanford.nlp.dcoref.MUCMentionExtractor.nextDoc,0,1,1
corenlp,edu.stanford.nlp.dcoref.SieveCoreferenceSystem.runAndScoreCoref,0,1,1
corenlp,edu.stanford.nlp.dcoref.SieveCoreferenceSystem.optimizeSieveOrdering,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFClassifier.makeAnswerArraysAndTagIndex,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFClassifier.train,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFClassifier.trainWeights,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFClassifier.loadTextClassifier,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFClassifier.main,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFClassifierNonlinear.loadTextClassifier,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFLogConditionalObjectiveFunctionForLOP.calculate,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFLogConditionalObjectiveFunctionWithDropout.expectedCountsAndValueForADoc,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFLogConditionalObjectiveFunctionWithDropout.getDropoutPrior,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFNonLinearLogConditionalObjectiveFunction.calculate,0,1,1
corenlp,edu.stanford.nlp.ie.crf.CRFNonLinearSecondOrderLogConditionalObjectiveFunction.calculate,0,1,1
corenlp,edu.stanford.nlp.ie.crf.NERGUI.extract,0,1,1
corenlp,edu.stanford.nlp.ie.ChineseMorphFeatureSets.getFeatures,0,1,1
corenlp,edu.stanford.nlp.ie.EmpiricalNERPrior.scoreOf,0,1,1
corenlp,edu.stanford.nlp.ie.EntityCachingAbstractSequencePrior.updateSequenceElement,0,1,1
corenlp,edu.stanford.nlp.ie.EntityCachingAbstractSequencePriorBIO.updateSequenceElement,0,1,1
corenlp,edu.stanford.nlp.ie.NERFeatureFactory.featuresC,0,1,1
corenlp,edu.stanford.nlp.ie.NERFeatureFactory.featuresCpC,0,1,1
corenlp,edu.stanford.nlp.ie.NumberNormalizer.findNumbers,0,1,1
corenlp,edu.stanford.nlp.ie.QuantifiableEntityNormalizer.normalizedNumberStringQuiet,0,1,1
corenlp,edu.stanford.nlp.ie.QuantifiableEntityNormalizer.processEntity,0,1,1
corenlp,edu.stanford.nlp.international.french.FrenchMorphoFeatureSpecification.strToFeatures,0,1,1
corenlp,edu.stanford.nlp.ling.CoreLabel.toString,0,1,1
corenlp,edu.stanford.nlp.ling.tokensregex.TokenSequenceMatcherITest.testTokenSequenceMatcherNumber,0,1,1
corenlp,edu.stanford.nlp.ling.tokensregex.PhraseTable.addPhrase,0,1,1
corenlp,edu.stanford.nlp.naturalli.OperatorScopeITest.fracasSentencesWithProperNouns,0,1,1
corenlp,edu.stanford.nlp.naturalli.ClauseSplitter.train,0,1,1
corenlp,edu.stanford.nlp.naturalli.ClauseSplitterSearchProblem.search,0,1,1
corenlp,edu.stanford.nlp.naturalli.ForwardEntailerSearchProblem.searchImplementation,0,1,1
corenlp,edu.stanford.nlp.naturalli.OpenIE.main,0,1,1
corenlp,edu.stanford.nlp.naturalli.Polarity.project,0,1,1
corenlp,edu.stanford.nlp.naturalli.QuestionToStatementTranslator.postProcess,0,1,1
corenlp,edu.stanford.nlp.naturalli.RelationTripleSegmenter.extract,0,1,1
corenlp,edu.stanford.nlp.naturalli.RelationTripleSegmenter.segmentVerb,0,1,1
corenlp,edu.stanford.nlp.naturalli.Util.cleanTree,0,1,1
corenlp,edu.stanford.nlp.neural.ConvertModels.main,0,1,1
corenlp,edu.stanford.nlp.parser.dvparser.DVModel.readWordVectors,0,1,1
corenlp,edu.stanford.nlp.parser.dvparser.DVParser.main,0,1,1
corenlp,edu.stanford.nlp.parser.dvparser.FindNearestNeighbors.main,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ArabicUnknownWordModel.getSignature,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.BiLexPCFGParser.parse,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ChineseCharacterBasedLexiconTraining.main,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ChineseLexiconAndWordSegmenter.main,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ChineseSimWordAvgDepGrammar.probTBwithSimWords,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ChineseTreebankParserParams.transformTree,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ChineseTreebankParserParams.setOptionFlag,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams.transformTree,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams.setOptionFlag,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ExhaustiveDependencyParser.parse,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser.parse,0,1,1
