nomeSistema,class,jdeodorant,pmd,jspirit
checkstyle,com.puppycrawl.tools.checkstyle.TreeWalker,1,1,0
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck,1,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck,1,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck,1,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.CheckStyleTask,1,1,0
checkstyle,com.puppycrawl.tools.checkstyle.Checker,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.api.ScopeUtils,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.AbstractTypeAwareCheck,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationUseStyleCheck,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.ParameterAssignmentCheck,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.ExpressionHandler,0,1,1
corenlp,edu.stanford.nlp.parser.lexparser.GrammarCompactionTester,1,1,1
corenlp,edu.stanford.nlp.ie.NERGUI,1,1,1
corenlp,edu.stanford.nlp.trees.tregex.gui.InputPanel,1,1,1
corenlp,edu.stanford.nlp.international.arabic.process.ArabicSegmenter,1,1,1
corenlp,edu.stanford.nlp.pipeline.NERCombinerAnnotator,1,1,1
corenlp,edu.stanford.nlp.patterns.dep.ExtractPhraseFromPattern,1,1,1
corenlp,edu.stanford.nlp.util.logging.OutputHandler,1,1,1
corenlp,edu.stanford.nlp.classify.PRCurve,1,1,1
corenlp,edu.stanford.nlp.coref.md.DependencyCorefMentionFinder,1,1,1
corenlp,edu.stanford.nlp.ie.util.RelationTriple,1,1,1
corenlp,edu.stanford.nlp.ling.tokensregex.SequenceMatcher.BranchStates,1,0,1
corenlp,edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,1,1,1
corenlp,edu.stanford.nlp.pipeline.StanfordCoreNLPClient,1,1,1
corenlp,edu.stanford.nlp.semgraph.semgrex.ssurgeon.Ssurgeon,1,0,1
corenlp,edu.stanford.nlp.ie.machinereading.domains.ace.reader.AceDocument,1,1,1
corenlp,edu.stanford.nlp.ling.tokensregex.Env,1,1,1
corenlp,edu.stanford.nlp.naturalli.OpenIE,1,1,1
corenlp,edu.stanford.nlp.parser.lexparser.UnaryGrammar,1,1,1
corenlp,edu.stanford.nlp.parser.nndep.DependencyParser,1,1,1
corenlp,edu.stanford.nlp.pipeline.TokensRegexNERAnnotator,1,1,1
corenlp,edu.stanford.nlp.sentiment.AbstractEvaluate,1,1,0
corenlp,edu.stanford.nlp.classify.SVMLightClassifierFactory,1,1,1
corenlp,edu.stanford.nlp.coref.data.Document,1,1,1
corenlp,edu.stanford.nlp.coref.docreader.CoNLLDocumentReader.DocumentIterator,1,0,1
corenlp,edu.stanford.nlp.coref.md.CorefMentionFinder,1,1,1
corenlp,edu.stanford.nlp.coref.statistical.FeatureExtractor,1,1,1
corenlp,edu.stanford.nlp.dcoref.Mention,1,1,1
corenlp,edu.stanford.nlp.dcoref.RuleBasedCorefMentionFinder,1,1,1
corenlp,edu.stanford.nlp.ie.machinereading.MachineReading,1,1,1
corenlp,edu.stanford.nlp.ling.tokensregex.CoreMapExpressionExtractor,1,1,1
corenlp,edu.stanford.nlp.optimization.QNMinimizer,1,1,1
corenlp,edu.stanford.nlp.parser.eval.TreebankStats,1,1,0
corenlp,edu.stanford.nlp.parser.lexparser.EnglishUnknownWordModel,1,1,1
corenlp,edu.stanford.nlp.parser.lexparser.TreeBinarizer,1,1,1
corenlp,edu.stanford.nlp.parser.metrics.LeafAncestorEval,1,1,0
corenlp,edu.stanford.nlp.patterns.surface.Token,1,0,1
corenlp,edu.stanford.nlp.pipeline.CleanXmlAnnotator,1,1,1
corenlp,edu.stanford.nlp.pipeline.StanfordCoreNLPServer,1,1,1
corenlp,edu.stanford.nlp.process.Morpha,1,1,1
corenlp,edu.stanford.nlp.semgraph.semgrex.SemgrexPattern,1,1,1
corenlp,edu.stanford.nlp.trees.CollocationFinder,1,1,0
corenlp,edu.stanford.nlp.trees.ud.UniversalDependenciesFeatureAnnotator,1,1,1
corenlp,edu.stanford.nlp.wordseg.MaxMatchSegmenter,1,1,1
corenlp,edu.stanford.nlp.dcoref.MentionExtractor,1,1,1
corenlp,edu.stanford.nlp.ie.machinereading.BasicRelationExtractor,1,1,0
corenlp,edu.stanford.nlp.ie.regexp.RegexNERSequenceClassifier,1,1,1
corenlp,edu.stanford.nlp.patterns.ConstantsAndVariables,1,1,1
corenlp,edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer,1,1,1
corenlp,edu.stanford.nlp.semgraph.SemanticGraph,1,1,1
corenlp,edu.stanford.nlp.trees.tregex.gui.TregexGUI,1,1,1
